IdMaterial;IdCeSum;2021/12;2022/1;2022/10;2022/11;2022/2;2022/3;2022/4;2022/5;2022/6;2022/7;2022/8;2022/9;Porcentaje;Provision;LeadTime;Sucursal;ABC_Sucursal;ABC;Margen_Total;Margen_Suc;UMBase;MAPE;AcumProy;AcumEsp;AcumPost;MeanSupply;Trim Proy 2022/12 - 2023/2;Trim Proy 2023/3 - 2023/5;DdaProy 2022/12;DdaProy 2023/1;DdaProy 2023/2;DdaProy 2023/3;DdaProy 2023/4;DdaProy 2023/5;PeriodROP;MeanSupply2;StdSupply2;DdaAnual;Trim 2021/12 - 2022/2;Trim 2022/3 - 2022/5;Trim 2022/6 - 2022/8;Trim 2022/9 - 2022/11
10001355;D110;0;12;11;0;40;8;6;48;13;2;24;0;0.4151898734177215;Directo;;Los Angeles;B;C;0.0072911068739284;0.0286455641383586;UN  ;0.14386406364873933;12.59977062670556;114;50;2.0999617711175933;6.9997504593329785;5.6000201673725805;2.22126582278481;2.358278481012658;2.4205569620253162;1.9389367088607594;1.7687088607594936;1.89326582278481;;0.0;0.0;62.601012658227845;52;62;39;11
10001355;D120;0;3;1;0;0;0;0;0;0;0;1;0;0.012658227848101266;Directo;;Temuco;C;C;0.0072911068739284;0.0052349263394493;UN  ;0.14386406364873933;0.3841393483751695;3;2;0.06402322472919492;0.21340702619917618;0.17073232217599332;0.06772151898734177;0.07189873417721518;0.07379746835443038;0.05911392405063291;0.05392405063291139;0.05772151898734176;;0.0;0.0;2.3841772151898732;3;0;1;1
10001355;D130;0;0;0;0;1;1;0;0;0;0;0;0;0.005063291139240506;Directo;;Panguipulli;C;C;0.0072911068739284;0.0005102422971543;UN  ;0.14386406364873933;0.1536557393500678;2;0;0.025609289891677968;0.08536281047967047;0.06829292887039733;0.027088607594936708;0.028759493670886076;0.029518987341772152;0.023645569620253163;0.021569620253164556;0.023088607594936708;;0.0;0.0;0.15367088607594936;1;1;0;0
10001355;D140;0;0;0;0;0;0;0;0;0;0;0;0;0.0;Directo;;;B;B;;;UN  ;0.14386406364873933;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0;0;0;0
10001355;D150;0;0;0;0;0;0;0;0;0;0;0;0;0.0;Directo;;;B;B;;;UN  ;0.14386406364873933;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0;0;0;0
10001355;D160;0;0;3;0;0;0;0;0;0;0;2;3;0.020253164556962026;Directo;;Los Lagos;C;C;0.0072911068739284;0.0007747247974977;UN  ;0.14386406364873933;0.6146229574002712;0;8;0.10243715956671187;0.34145124191868187;0.2731717154815893;0.10835443037974683;0.1150379746835443;0.11807594936708861;0.09458227848101265;0.08627848101265823;0.09235443037974683;;0.0;0.0;8.614683544303798;0;0;2;6
10001355;D170;0;0;0;0;0;0;0;0;0;0;0;0;0.0;Directo;;;B;B;;;UN  ;0.14386406364873933;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0;0;0;0
10001355;D180;0;0;0;0;0;0;0;0;0;0;1;0;0.002531645569620253;Directo;;Rio Bueno;C;C;0.0072911068739284;0.0009161810162573;UN  ;0.14386406364873933;0.0768278696750339;0;1;0.012804644945838984;0.042681405239835234;0.03414646443519866;0.013544303797468354;0.014379746835443038;0.014759493670886076;0.011822784810126582;0.010784810126582278;0.011544303797468354;;0.0;0.0;1.0768354430379747;0;0;1;0
10001355;D190;1;4;7;17;4;2;5;4;3;16;14;22;0.25063291139240507;Directo;;Osorno;C;C;0.0072911068739284;0.0063831476442847;UN  ;0.14386406364873933;7.605959097828356;20;79;1.2676598496380593;4.2254591187436885;3.380499979084668;1.340886075949367;1.4235949367088607;1.4611898734177216;1.1704556962025316;1.0676962025316454;1.142886075949367;;0.0;0.0;86.6067088607595;9;11;33;46
10001355;D220;5;7;3;12;4;10;1;2;2;4;4;8;0.1569620253164557;Directo;;Purranque;C;C;0.0072911068739284;0.0167432823300393;UN  ;0.14386406364873933;4.7633279198521015;29;33;0.793887986642017;2.6462471248697845;2.1170807949823174;0.839746835443038;0.8915443037974683;0.9150886075949367;0.7330126582278481;0.6686582278481012;0.715746835443038;;0.0;0.0;37.763797468354426;16;13;10;23
10001355;D230;0;1;0;0;1;1;3;1;0;0;2;0;0.02278481012658228;Directo;;Frutillar;C;C;0.0072911068739284;0.0045193711739965;UN  ;0.14386406364873933;0.6914508270753051;7;2;0.11524180451255085;0.38413264715851714;0.307318179916788;0.12189873417721518;0.12941772151898734;0.13283544303797468;0.10640506329113925;0.0970632911392405;0.10389873417721518;;0.0;0.0;2.691518987341772;2;5;2;0
10001355;D240;1;2;3;1;6;4;2;2;0;1;2;4;0.07088607594936709;Directo;;Puerto Varas;C;C;0.0072911068739284;0.0078476821852757;UN  ;0.14386406364873933;2.1511803509009493;17;11;0.35853005848349156;1.1950793467153866;0.9561010041855627;0.37924050632911394;0.40263291139240504;0.41326582278481017;0.3310379746835443;0.3019746835443038;0.3232405063291139;;0.0;0.0;13.15139240506329;9;8;3;8
10001355;D250;1;1;0;1;3;1;2;1;1;1;0;4;0.04050632911392405;Directo;;Los Muermos;C;C;0.0072911068739284;0.0056410224875823;UN  ;0.14386406364873933;1.2292459148005423;9;7;0.20487431913342374;0.6829024838373637;0.5463434309631786;0.21670886075949367;0.2300759493670886;0.23615189873417722;0.1891645569620253;0.17255696202531645;0.18470886075949366;;0.0;0.0;8.229367088607596;5;4;2;5
10001355;D260;0;0;0;0;0;0;0;0;0;0;0;0;0.0;Directo;;;B;B;;;UN  ;0.14386406364873933;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0;0;0;0
10001355;D270;0;0;0;0;0;0;0;0;0;0;1;0;0.002531645569620253;Directo;;Ancud;C;C;0.0072911068739284;0.0022409263641112;UN  ;0.14386406364873933;0.0768278696750339;0;1;0.012804644945838984;0.042681405239835234;0.03414646443519866;0.013544303797468354;0.014379746835443038;0.014759493670886076;0.011822784810126582;0.010784810126582278;0.011544303797468354;;0.0;0.0;1.0768354430379747;0;0;1;0
